,date,title,url
1079,2010-07-01,亚马逊将发布新版KindleDX价格下调110美元,http://www.techweb.com.cn/news/2010-07-01/632900.shtml
1080,2010-07-01,5880元iPhone手机在卓越亚马逊免费送,http://www.techweb.com.cn/news/2010-07-01/632836.shtml
1081,2010-07-01,亚马逊新版KindleDX降价至379美元,http://www.techweb.com.cn/news/2010-07-01/632815.shtml
1082,2010-07-01,亚马逊开始实施Kindle电子书新版税方案,http://www.techweb.com.cn/news/2010-07-01/632536.shtml
1083,2010-07-01,亚马逊租下路易斯维尔百万平方英尺零售商店,http://www.techweb.com.cn/news/2010-07-01/632526.shtml
1084,2010-07-01,亚马逊宣布购“一天团购一次”理念鼻祖Woot,http://www.techweb.com.cn/news/2010-07-01/632498.shtml
1085,2010-07-01,亚马逊拟推预览器读者可通过浏览器预览图书,http://www.techweb.com.cn/news/2010-07-01/632497.shtml
1086,2010-07-01,亚马逊收购团购网站Woot.com,http://www.techweb.com.cn/news/2010-07-01/632487.shtml
1087,2010-07-01,亚马逊收购网络折扣店Woot,http://www.techweb.com.cn/news/2010-07-01/632369.shtml
1088,2010-07-01,亚马逊宣布收购折扣购物网站Woot.com,http://www.techweb.com.cn/news/2010-07-01/632368.shtml
1089,2010-07-01,亚马逊计划推Kindle电子书HTML5预览器,http://www.techweb.com.cn/news/2010-07-01/632361.shtml
1090,2010-06-30,亚马逊为Kindle电子书制定新版税计划,http://www.techweb.com.cn/news/2010-06-30/632269.shtml
1091,2010-06-30,亚马逊大范围宕机数小时：每分钟损失5万美元,http://www.techweb.com.cn/news/2010-06-30/632191.shtml
1092,2010-06-30,卓越亚马逊第七大运营中心正式落户沈阳,http://www.techweb.com.cn/news/2010-06-30/632081.shtml
1093,2010-06-30,亚马逊突遭技术问题部分客户无法下订单,http://www.techweb.com.cn/news/2010-06-30/631936.shtml
1094,2010-06-30,亚马逊网站宕机数小时：每分钟损失5万美元,http://www.techweb.com.cn/news/2010-06-30/631932.shtml
1097,2010-06-30,亚马逊推Android版Kindle应用入驻应用商店,http://www.techweb.com.cn/news/2010-06-30/631656.shtml
1098,2010-06-29,亚马逊高层称iPad与电子阅读器不属于同类产品,http://www.techweb.com.cn/news/2010-06-29/631365.shtml
